Label,Min Saccade,Mean Saccade Rate,Power Saccade Amp,Power Blink Amplitude,Mean Blink Duration,Max Blink Duration,Average Temp,Magnitude Angular Vel
3,-989.0510705,1.000151538,16559.9686,35241.63679,0.458016519,0.571763549,30,100
2,-388.5250179,1.375286518,595.9120674,632.4325127,0.343563191,0.457669023,28,300
4,-468.2784674,0.426264448,28872.98735,9085.392565,0.952040865,3.79800792,33,30
3,-635.9889051,0.478364862,40722.45362,23403.67982,0.516217477,1.176184674,30,100
2,-264.9213383,0.833506981,955.768043,1229.317752,0.505012415,0.946979747,28,300
4,-304.074248,0.425053132,7102.612756,3714.211739,0.83104968,1.582931831,33,30
3,-988.7924555,1.000151538,16563.03354,35173.35726,0.458196788,0.571274113,30,100
2,-388.6374874,1.375286518,594.9614064,634.0154076,0.343577999,0.457908085,28,300
4,-468.1384158,0.442659234,27890.17138,9065.378612,0.96359856,3.796811144,33,30
3,-546.8610136,0.484921958,30093.37794,88416.35394,0.400323298,0.752285995,30,100
2,-263.2569327,0.750156283,1985.489188,17588.20048,0.468265299,0.94702176,28,300
4,-1152.252631,0.500044647,52080.77627,81047.51629,0.617816015,1.910167383,33,30
3,-989.4091442,1.000151538,16535.74684,35313.0075,0.458541075,0.571562725,30,100
2,-388.3659657,1.375286518,582.4471968,608.9894288,0.343517867,0.4587942,28,300
4,-469.1902308,0.377080089,28890.75274,8722.699853,0.993920928,3.800927649,33,30
3,-546.8973369,0.454614336,30005.36898,88301.2869,0.400026131,0.753831171,30,100
2,-262.8779122,0.750156283,1980.041922,17679.08472,0.467905153,0.945690079,28,300
4,-1151.070568,0.535762122,48363.96151,79990.38714,0.623953043,2.085600388,33,30
3,0.328064059,0.06667778,0.004948289,0.001179153,0.797339971,1.157938728,30,100
2,0.365577734,0.566761127,0.000767267,0.000380879,0.44481755,0.671704776,28,300
4,0.429805785,0.433405568,2.56E-05,0.000217824,0.201636657,0.662951688,33,30
3,0.470430816,0.333388898,0.000365553,0.000340202,0.513244012,0.87182024,30,100
2,0.461788476,0.100016669,0.000995059,0.000309192,0.248519544,0.611703979,28,300
4,0.528919555,0.166694449,1.71E-05,0.000232505,0.085181525,0.109615741,33,30
3,0.200218161,1.000166694,0.00104002,0.001069676,0.294406069,0.484620174,30,100
2,0.327615581,0.933488915,0.000615498,0.000596528,0.304887058,0.584980084,28,300
4,0.387688047,0.03333889,0,0.000158,0.173333423,0.44862668,33,30
3,0.460712,1.133522254,0.000135298,0.000293661,0.285158861,0.447847164,30,100
2,0.417500233,0.933488915,0.000478272,0.000617377,0.29761135,0.570492638,28,300
4,0,0,0,0.000418389,0.108091556,0.19830732,33,30
3,0.142617695,0.400066678,0.005023647,0.003333884,0.648112586,1.153539433,30,100
2,0.354568014,0.500083347,0.00065734,0.000863109,0.311768415,0.530045565,28,300
4,0.34493529,0.466744457,0.000446518,0.000963671,0.574056395,1.073936066,33,30
3,0.495932569,0.466744457,0.000132309,0.000853595,0.32194455,0.656436842,30,100
2,0.446377737,0.266711119,0.000608227,0.000859405,0.194867094,0.411282371,28,300
4,0.470803141,0.366727788,0.00034508,0.001644676,0.255956552,0.4117632,33,30
